วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
19/10/20 15:20,1-7945,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.840,50.40,0.00,50.40,0.00,50.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:19,1-7944,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:19,1-7944,ลดราคา,ของกิน,PD00028-1,น้ำปลาหวาน,,,1.000,70.00,0.00,70.00,45.00,25.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:19,1-7944,ลดราคา,ผักผล,10073,ข้าวโพดหวาน,,,0.370,22.20,0.00,22.20,0.00,22.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:19,1-7944,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.270,32.40,0.00,32.40,0.00,32.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:10,1-7943,ลดราคา,ผักผล,10148,หน่อไม้ไผ่ตง หวาน,,,0.800,48.00,0.00,48.00,0.00,48.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:08,1-7942,ลดราคา,ผักผล,10148,หน่อไม้ไผ่ตง หวาน,,,1.000,60.00,0.00,60.00,0.00,60.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:08,1-7942,ลดราคา,ผักผล,10111,พริกขี้หนู  ถุงละ,,,1.000,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:08,1-7942,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,10.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:08,1-7942,ลดราคา,ผักผล,10115,ฟักทอง,,,0.940,56.40,0.00,56.40,0.00,56.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:04,1-7941,ลดราคา,ผลไม้,10159,แตงไทย,,,1.300,78.00,0.00,78.00,0.00,78.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:00,1-7940,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,10.000,70.00,0.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
